Synthetic Football Fields in Seattle - Analysis Summary

Total football fields processed,43
Number of synthetic fields,13
Percentage synthetic,30.2%

Detailed List of Synthetic Football Fields

Number,Field Name (from NAME column),Surface Type

1,Garfield PF,synthetic and grass
2,SE Athletic Complex,synthetic
3,Hiawatha PF,synthetic
4,Garfield HS,synthetic
5,Roosevelt HS,synthetic
6,Ballard HS,synthetic
7,Loyal Heights PF,synthetic
8,SW Athletic Complex (SealthHS),synthetic and grass
9,Montlake PF,synthetic
10,Franklin HS,synthetic
11,NE Athletic Complex (Hale HS),synthetic
12,Rainier Beach HS,synthetic and grass
13,NW Athletic Complex (Ingraham),synthetic
